Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,Weight,Height,Bats,Throws,Birthplace,R/PA
Jesús Sánchez*,26,MIA,NL,0.7,149,537,489,60,123,25,1,18,64,16,2,41,140,0.252,0.313,0.417,0.731,97,0.326,96,204,12,4,1,2,2,*9HD7,,,222,74,Left ,Right ,DR ,11.17318436
Ty France,29,2TM,2LG,-0.6,140,535,479,46,112,24,0,13,51,1,1,38,114,0.234,0.305,0.365,0.67,92,0.301,95,175,16,13,0,5,0,*3/DH4,,,215,71,Right ,Right ,CA,8.598130841
Shea Langeliers,26,OAK,AL,2.9,137,534,482,58,108,18,2,29,80,4,2,41,145,0.224,0.288,0.45,0.739,111,0.321,111,217,15,5,0,6,2,*2/HD,,,205,72,Right ,Right ,OR,10.86142322
Corey Seager*,30,TEX,AL,5,123,533,475,68,132,21,0,30,74,1,1,53,96,0.278,0.353,0.512,0.864,146,0.363,139,243,8,3,0,2,11,*6D/H,"AS,MVP-15",,215,75,Left ,Right ,NC,12.75797373
Leody Taveras#,25,TEX,AL,0.5,151,529,480,59,110,17,3,12,44,23,6,42,112,0.229,0.289,0.352,0.641,84,0.293,84,169,8,0,3,4,0,*8/HD,,,195,74,Both ,Right ,DR ,11.15311909
Luis García Jr.*,24,WSN,NL,2.2,140,528,500,58,141,25,1,18,70,22,5,27,86,0.282,0.318,0.444,0.762,115,0.336,114,222,12,0,0,1,2,*4H/D,,,216,73,Left ,Right ,NY,10.98484848
Lane Thomas,28,2TM,2LG,0.3,130,528,472,65,112,26,3,15,63,32,14,44,137,0.237,0.309,0.4,0.709,101,0.315,101,189,5,7,0,5,1,*98/HD,,,195,71,Right ,Right ,TN ,12.31060606
Sal Frelick*,24,MIL,NL,2.1,145,524,475,66,123,22,4,2,32,18,3,39,78,0.259,0.32,0.335,0.655,84,0.303,84,159,8,4,2,1,0,*987H/5D,GG,,188,68,Left ,Right ,MA,12.59541985
Andrew Benintendi*,29,CHW,AL,-0.8,135,522,477,50,109,20,0,20,64,3,2,41,96,0.229,0.289,0.396,0.685,95,0.299,92,189,12,1,0,3,1,*7H/D8,,,185,70,Left ,Left ,OH,9.578544061
Logan O'Hoppe,24,LAA,AL,2.7,136,522,479,64,117,17,1,20,56,2,3,33,155,0.244,0.303,0.409,0.712,99,0.315,102,196,7,8,1,1,0,*2/HD,,,185,74,Right ,Right ,NY,12.2605364
Jacob Young,24,WSN,NL,2.8,150,521,468,75,120,24,1,3,36,33,10,30,102,0.256,0.316,0.331,0.648,86,0.299,87,155,11,12,9,2,0,*8/HD,,,192,71,Right ,Right ,FL,14.39539347
Heliot Ramos,24,SFG,NL,2.3,121,518,475,54,128,23,3,22,72,6,1,37,135,0.269,0.322,0.469,0.792,125,0.349,129,223,12,2,0,4,2,*87/9DH,AS,,230,71,Right ,Right ,PR,10.42471042
Rhys Hoskins,31,MIL,NL,-0.2,131,517,449,59,96,14,0,26,82,3,0,53,149,0.214,0.303,0.419,0.722,99,0.314,95,188,11,7,0,6,1,3D/H,,,241,75,Right ,Right ,CA ,11.41199226
Mookie Betts,31,LAD,NL,4.8,116,516,450,75,130,24,5,19,75,16,2,61,57,0.289,0.372,0.491,0.863,145,0.377,145,221,10,1,0,4,2,694/H,"AS,MVP-13,SS",,180,70,Right ,Right ,TN ,14.53488372
Andrew McCutchen,37,PIT,NL,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,0.232,0.328,0.411,0.739,105,0.332,110,184,9,7,0,2,1,*D/9H,,,190,70,Right ,Right ,FL,12.81553398
Tyler Stephenson,27,CIN,NL,2.4,138,515,457,69,118,26,1,19,66,1,0,48,117,0.258,0.338,0.444,0.782,113,0.345,114,203,9,8,0,2,2,*2HD,,,225,75,Right ,Right ,GA,13.39805825
Jake Meyers,28,HOU,AL,1.7,148,513,461,51,101,20,3,13,61,11,3,35,117,0.219,0.286,0.36,0.646,84,0.288,83,166,17,10,3,4,0,*8H/7D,,,200,72,Right ,Left ,NE,9.941520468
